N	Tempo	EM1	EM2	EM3	EM4	EM5	EM6	EM7	EM8	EM9	EM10	EM11	EM12	CM1	CM2	CM3	CM4	CM5	CM6	CM7	CM8	CM9	CM10	CM11	CM12	AcX		AcY	AcZ	GyX	GyY	GyZ		HCSR
67	87844	78	89	83	101	92	103	106	99	93	79	92	102	76	105	102	92	96	109	80	76	97	108	87	106	-200.00	48.00	154.00	-640.00	-648.00	-17260.00	36.13
68	89274	76	105	102	92	96	109	80	76	97	108	87	106	73	93	72	101	92	103	90	105	100	108	103	89	391.00	250.00	-37.00	-1640.00	-608.00	-18660.00	36.29
69	90466	73	93	72	101	92	103	90	105	100	108	103	89	72	104	76	105	87	108	90	77	92	87	87	97	2622.00	1520.00	-4368.00	4372.00	-900.00	-20472.00	36.38
70	91567	72	104	76	105	87	108	90	77	92	87	87	97	88	93	71	87	107	94	89	86	81	72	85	71	1354.00	177.00	-907.00	-572.00	-816.00	-17636.00	36.38
71	92812	88	93	71	87	107	94	89	86	81	72	85	71	101	73	74	108	109	95	97	98	94	85	99	75	1667.00	-304.00	-7387.00	-340.00	-4112.00	-18024.00	37.67
72	94152	101	73	74	108	109	95	97	98	94	85	99	75	87	91	94	101	76	73	78	107	75	93	70	89	-500.00	-82.00	-239.00	-940.00	728.00	-16600.00	39.01
73	95190	87	91	94	101	76	73	78	107	75	93	70	89	84	99	95	84	98	79	99	96	95	108	89	93	-231.00	1572.00	3660.00	-5028.00	-1948.00	-14900.00	37.52
74	96941	84	99	95	84	98	79	99	96	95	108	89	93	109	84	105	106	105	83	82	73	77	96	96	104	-345.00	565.00	497.00	-1824.00	1520.00	-19348.00	38.30
75	98231	109	84	105	106	105	83	82	73	77	96	96	104	100	87	94	93	88	86	82	70	94	103	89	99	239.00	-319.00	2140.00	-1788.00	-1036.00	-18692.00	37.36
76	99394	100	87	94	93	88	86	82	70	94	103	89	99	101	103	70	107	101	70	88	107	83	106	104	100	-616.00	-484.00	-529.00	-1772.00	456.00	-15808.00	35.64
77	100400	101	103	70	107	101	70	88	107	83	106	104	100	79	95	81	87	84	91	102	80	97	75	81	70	-192.00	212.00	83.00	-1588.00	1968.00	-16584.00	37.78
78	101665	79	95	81	87	84	91	102	80	97	75	81	70	85	84	84	84	93	107	97	84	109	93	80	76	2697.00	3819.00	-8095.00	424.00	-624.00	-19492.00	37.52
79	102909	85	84	84	84	93	107	97	84	109	93	80	76	82	88	71	97	90	77	91	104	85	89	73	96	-1694.00	-145.00	8.00	-1664.00	-2260.00	-17232.00	38.70
80	104374	82	88	71	97	90	77	91	104	85	89	73	96	103	96	83	86	91	87	72	82	90	101	83	87	313.00	-272.00	7769.00	-176.00	2860.00	-14576.00	40.55
81	105526	103	96	83	86	91	87	72	82	90	101	83	87	95	89	77	100	95	77	87	95	92	103	98	94	415.00	186.00	-2860.00	392.00	976.00	-22608.00	37.02
82	106711	95	89	77	100	95	77	87	95	92	103	98	94	107	90	71	88	99	77	89	100	94	90	89	85	-712.00	282.00	2374.00	-856.00	1852.00	-15228.00	38.12
83	107973	107	90	71	88	99	77	89	100	94	90	89	85	94	108	73	104	97	103	107	92	72	70	80	71	480.00	60.00	-1315.00	-344.00	820.00	-20244.00	38.14
84	109137	94	108	73	104	97	103	107	92	72	70	80	71	90	107	102	105	101	81	81	99	104	93	81	109	-333.00	-1192.00	-2825.00	-2856.00	-3932.00	-17660.00	39.19
85	110772	90	107	102	105	101	81	81	99	104	93	81	109	95	73	89	76	102	96	75	106	107	85	94	101	2681.00	-3545.00	9148.00	684.00	12008.00	-12076.00	38.64
86	112113	95	73	89	76	102	96	75	106	107	85	94	101	106	87	99	92	89	70	98	86	103	103	78	76	-142.00	112.00	-1021.00	-336.00	536.00	-17656.00	36.85
87	113419	106	87	99	92	89	70	98	86	103	103	78	76	100	96	99	108	109	104	86	83	85	105	78	82	-5348.00	-2152.00	1350.00	168.00	4484.00	-14136.00	36.76
88	114865	100	96	99	108	109	104	86	83	85	105	78	82	101	93	109	71	92	106	91	80	90	101	80	107	849.00	-107.00	-1297.00	-264.00	-368.00	-17048.00	35.93
89	116120	101	93	109	71	92	106	91	80	90	101	80	107	85	91	83	76	82	89	102	82	97	78	106	108	892.00	-780.00	326.00	-1980.00	-2344.00	-16144.00	35.71
90	117033	85	91	83	76	82	89	102	82	97	78	106	108	78	99	73	73	109	104	101	81	104	86	86	83	-234.00	248.00	447.00	-1252.00	76.00	-17904.00	36.04
91	118524	78	99	73	73	109	104	101	81	104	86	86	83	87	107	106	83	100	96	98	83	86	94	78	71	-667.00	466.00	-693.00	748.00	2508.00	-16684.00	36.94
92	119682	87	107	106	83	100	96	98	83	86	94	78	71	81	104	79	89	84	77	72	71	90	79	73	108	-1088.00	109.00	-152.00	-4568.00	172.00	-8480.00	36.91
93	121102	81	104	79	89	84	77	72	71	90	79	73	108	88	71	100	85	104	72	90	75	90	93	80	72	-4363.00	1213.00	7350.00	-232.00	-1148.00	-18204.00	37.78
94	122362	88	71	100	85	104	72	90	75	90	93	80	72	100	92	85	84	104	100	76	73	105	85	85	107	-2346.00	1164.00	-5488.00	-5416.00	1772.00	-13708.00	36.91
95	123619	100	92	85	84	104	100	76	73	105	85	85	107	87	93	86	72	101	95	87	100	106	101	76	100	312.00	70.00	3201.00	-4028.00	-888.00	-17732.00	37.76
96	124686	87	93	86	72	101	95	87	100	106	101	76	100	107	83	70	73	92	73	107	77	101	92	100	96	-113.00	70.00	-233.00	-2856.00	1728.00	-16928.00	37.11
97	125984	107	83	70	73	92	73	107	77	101	92	100	96	107	89	82	94	73	95	97	77	109	73	109	91	23.00	435.00	-365.00	-328.00	2508.00	-17844.00	36.87
98	127395	107	89	82	94	73	95	97	77	109	73	109	91	75	74	106	109	98	102	108	71	86	75	75	83	565.00	-280.00	-514.00	-48.00	1308.00	-17100.00	37.25
99	128386	75	74	106	109	98	102	108	71	86	75	75	83	95	84	100	89	109	95	98	87	81	88	74	106	-446.00	16.00	-757.00	-140.00	-2380.00	-18772.00	33.97
100	129496	95	84	100	89	109	95	98	87	81	88	74	106	83	82	100	103	78	72	90	85	94	77	78	98	3103.00	-3544.00	7059.00	1896.00	1928.00	-26416.00	35.68
101	130542	83	82	100	103	78	72	90	85	94	77	78	98	84	91	74	99	94	97	77	86	106	96	107	106	445.00	-667.00	-1119.00	-2720.00	2580.00	-13520.00	36.17
102	131870	84	91	74	99	94	97	77	86	106	96	107	106	91	84	74	77	87	83	88	77	70	76	97	87	-725.00	57.00	101.00	-300.00	460.00	-18736.00	37.18
103	133014	91	84	74	77	87	83	88	77	70	76	97	87	108	95	75	109	71	91	75	83	73	91	90	79	2454.00	152.00	-11496.00	-2604.00	-868.00	-16420.00	36.47
104	134102	108	95	75	109	71	91	75	83	73	91	90	79	70	104	86	94	78	96	84	91	85	71	108	75	-703.00	-681.00	-3249.00	-4160.00	-536.00	-14112.00	38.83
105	135311	70	104	86	94	78	96	84	91	85	71	108	75	71	102	104	84	106	73	103	94	109	102	82	99	-346.00	251.00	304.00	-1368.00	-300.00	-17256.00	38.14
